Country,Region,State,Territory,City
India,South,Andhra Pradesh,Visakhapatnam,Visakhapatnam
India,South,Andhra Pradesh,Vizianagaram,Vizianagaram
India,South,Andhra Pradesh,Srikakulam,Srikakulam
India,South,Andhra Pradesh,Amaravati,Amaravati
India,South,Andhra Pradesh,Krishna,Vijayawada
India,South,Andhra Pradesh,Guntur,Guntur
India,South,Andhra Pradesh,Tirupati,Tirupati
India,South,Andhra Pradesh,Kurnool,Kurnool
India,South,Andhra Pradesh,East Godavari,Kakinada
India,South,Andhra Pradesh,East Godavari,Rajahmundry
India,South,Andhra Pradesh,Anantapur,Anantapur
India,South,Andhra Pradesh,Nellore,Nellore
India,South,Andhra Pradesh,YSR Kadapa,Kadapa
India,South,Andhra Pradesh,Chittoor,Chittoor
India,South,Andhra Pradesh,Krishna,Machilipatnam
India,South,Andhra Pradesh,Prakasam,Ongole
India,South,Andhra Pradesh,West Godavari,Eluru
India,South,Andhra Pradesh,West Godavari,Bhimvaram
India,South,Andhra Pradesh,West Godavari,Palakol
India,South,Andhra Pradesh,East Godavari,Other City
India,South,Andhra Pradesh,West Godavari,Other City
India,South,Andhra Pradesh,Unlisted,Unlisted
India,South,Tamil Nadu,Ariyalur,Ariyalur
India,South,Tamil Nadu,Chengalpattu,Chengalpattu
India,South,Tamil Nadu,Chennai,Chennai
India,South,Tamil Nadu,Coimbatore,Coimbatore
India,South,Tamil Nadu,Cuddalore,Cuddalore
India,South,Tamil Nadu,Dharmapuri,Dharmapuri
India,South,Tamil Nadu,Dindigul,Dindigul
India,South,Tamil Nadu,Erode,Erode
India,South,Tamil Nadu,Kallakurichi,Kallakurichi
India,South,Tamil Nadu,Kanchipuram,Kanchipuram
India,South,Tamil Nadu,Kanyakumari,Nagercoil
India,South,Tamil Nadu,Karur,Karur
India,South,Tamil Nadu,Krishnagiri,Madurai
India,South,Tamil Nadu,Nagapattinam,Nagapattinam
India,South,Tamil Nadu,Namakkal,Namakkal
India,South,Tamil Nadu,Nilgris,Udhagamandalam
India,South,Tamil Nadu,Salem,Salem
India,South,Tamil Nadu,Sivagangai,Sivagangai
India,South,Tamil Nadu,Thanjavur,Thanjavur
India,South,Tamil Nadu,Tiruchirappali,Tiruchirappali
India,South,Tamil Nadu,Tirunelveli,Tirunelveli
India,South,Tamil Nadu,Tiruppur,Tiruppur
India,South,Tamil Nadu,Tiruvallur,Tiruvallur
India,South,Tamil Nadu,Tiruvarur,Tiruvarur
India,South,Tamil Nadu,Vellore,Vellore
India,South,Tamil Nadu,Viluppuram,Viluppuram
India,South,Tamil Nadu,Unlisted,Unlisted
India,South,Karnataka,Bagalkot,Bagalkot
India,South,Karnataka,Bengaluru urban,Bengaluru
India,South,Karnataka,Bengaluru rural,Bengaluru
India,South,Karnataka,Belgavi,Belgavi
India,South,Karnataka,Bellary,Ballari
India,South,Karnataka,Bidar,Bidar
India,South,Karnataka,Vijayapura,Vijayapura
India,South,Karnataka,Chamarajanagar,Chamarajanagar
India,South,Karnataka,Chikballapur,Chikballapur
India,South,Karnataka,Chikkamaguluru,Chikkamaguluru
India,South,Karnataka,Chitradurga,Chitradurga
India,South,Karnataka,Dakshina Kannada,Manguluru
India,South,Karnataka,Davangere,Davangere
India,South,Karnataka,Dharwad,Dharwad
India,South,Karnataka,Gadag,Gadag
India,South,Karnataka,Hassan,Hassan
India,South,Karnataka,Kodagu,Madikeri
India,South,Karnataka,Kolar,Kolar
India,South,Karnataka,Mandya,Mandya
India,South,Karnataka,Mysuru,Mysuru
India,South,Karnataka,Shivamogga,Shivamogga
India,South,Karnataka,Tumkuru,Tumkuru
India,South,Karnataka,Udupi,Udupi
India,South,Karnataka,Unlisted,Unlisted
India,South,Kerala,Alapuzzha,Alapuzzha
India,South,Kerala,Ernakulam,Ernakulam
India,South,Kerala,Kannur,Kannur
India,South,Kerala,Kasaragod,Kasaragod
India,South,Kerala,Kollam,Kollam
India,South,Kerala,Kottayam,Kottayam
India,South,Kerala,Malappuram,Malappuram
India,South,Kerala,Palakkad,Palakkad
India,South,Kerala,Thiruvananthapuram,Thiruvananthapuram
India,South,Kerala,Thrissur,Thrissur
India,South,Kerala,Waynad,Kalpetta
India,South,Kerala,Unlisted,Unlisted
India,South,Telangana,Adilabad,Adilabad
India,South,Telangana,Kothagudem,Kothagudem
India,South,Telangana,Hyderabad,Hyderabad
India,South,Telangana,Jagityal,Jagityal
India,South,Telangana,Jangaon,Jangaon
India,South,Telangana,Jayashankar Bhupalpally,Bhupalpalle
India,South,Telangana,Gadwal,Gadwal
India,South,Telangana,Kamareddy,Kamareddy
India,South,Telangana,Karimnagar,Karimnagar
India,South,Telangana,Khammam,Khammam
India,South,Telangana,Komaram Bheem,Komaram Bheem
India,South,Telangana,Mahbubabad,Mahbubabad
India,South,Telangana,Mahabubnagar,Mahabubnagar
India,South,Telangana,Manchiryal,Manchiryal
India,South,Telangana,Medak,Medak
India,South,Telangana,Medchal-Malkajgiri,Shamirpet
India,South,Telangana,Mulugu,Mulugu
India,South,Telangana,Nagarkurnool,Nagarkurnool
India,South,Telangana,Narayanpet,Narayanpet
India,South,Telangana,Nalgonda,Nalgonda
India,South,Telangana,Nirmal,Nirmal
India,South,Telangana,Nizamabad,Nizamabad
India,South,Telangana,Rajanna Sircilla,Sircilla
India,South,Telangana,Rangareddy,Shamshabad
India,South,Telangana,Sangareddy,Sangareddy
India,South,Telangana,Suryapet,Suryapet
India,South,Telangana,Vikarabad,Vikarabad
India,South,Telangana,Warangal Rural,Warangal
India,South,Telangana,Warangal Urban,Warangal
India,South,Telangana,Unlisted,Unlisted
India,East,Odisha,Angul,Angul
India,East,Odisha,Balangir,Balangir
India,East,Odisha,Balasore,Balasore
India,East,Odisha,Bhadrak,Bhadrak
India,East,Odisha,Cuttack,Cuttack
India,East,Odisha,Ganjam,Chhattrapur
India,East,Odisha,Gajapati,Parlakhemundi
India,East,Odisha,Jharsuguda,Jharsuguda
India,East,Odisha,Khurda,Khurda
